alumni_match,faculty_match,faculty_role
Hongyang Zhang,Ruslan Salakhutdinov,Chair
Manzil Zaheer,Barnabás Póczos,Chair
Manzil Zaheer,Ruslan Salakhutdinov,Chair
Manzil Zaheer,Geoffrey Gordon,Non-chair
Stephen Hanneke,Larry Wasserman,Chair
Stephen Hanneke,Eric Xing,Non-chair
Stephen Hanneke,Larry Wasserman,Chair
Stephen Hanneke,Eric Xing,Non-chair
Lucia Castellanos,Robert Kass,Chair
Lucia Castellanos,Tom Mitchell,Non-chair
Lucia Castellanos,Byron Yu,Non-chair
Lucia Castellanos,Robert Kass,Chair
Lucia Castellanos,Tom Mitchell,Non-chair
Lucia Castellanos,Byron Yu,Non-chair
Aaditya Ramdas,Larry Wasserman,Chair
Aaditya Ramdas,Aarti Singh,Non-chair
Aaditya Ramdas,Ryan Tibshirani,Non-chair
Aaditya Ramdas,Aaditya Ramdas,Non-chair
Aaditya Ramdas,Larry Wasserman,Chair
Aaditya Ramdas,Aarti Singh,Non-chair
Aaditya Ramdas,Ryan Tibshirani,Non-chair
Aaditya Ramdas,Aaditya Ramdas,Non-chair
Qirong Ho,Eric Xing,Chair
Wei (David) Dai,Eric Xing,Chair
Wei (David) Dai,Eric Xing,Chair
Kaustav Das,Jeff Schneider,Chair
Kaustav Das,Christos Faloutsos,Non-chair
Kaustav Das,Geoffrey Gordon,Non-chair
Kaustav Das,Jeff Schneider,Chair
Kaustav Das,Christos Faloutsos,Non-chair
Kaustav Das,Geoffrey Gordon,Non-chair
Yifei Ma,Jeff Schneider,Chair
Yifei Ma,Aarti Singh,Non-chair
Yifei Ma,Jeff Schneider,Chair
Yifei Ma,Aarti Singh,Non-chair
Robert Fisher,Reid Simmons,Chair
Robert Fisher,Geoffrey Gordon,Non-chair
Robert Fisher,Reid Simmons,Chair
Robert Fisher,Geoffrey Gordon,Non-chair
Junier Oliva,Ruslan Salakhutdinov,Chair
Junier Oliva,Ruslan Salakhutdinov,Chair
Suyash Shringarpure,Eric Xing,Chair
Suyash Shringarpure,Eric Xing,Chair
Xi Chen,Tom Mitchell,Chair
Xi Chen,Larry Wasserman,Non-chair
Xi Chen,Tom Mitchell,Chair
Xi Chen,Larry Wasserman,Non-chair
Simon Du,Aarti Singh,Chair
Simon Du,Ruslan Salakhutdinov,Non-chair
Simon Du,Aarti Singh,Chair
Simon Du,Ruslan Salakhutdinov,Non-chair
Ajit Singh,Geoffrey Gordon,Chair
Ajit Singh,Tom Mitchell,Non-chair
Ajit Singh,Christos Faloutsos,Non-chair
Ajit Singh,Geoffrey Gordon,Chair
Ajit Singh,Tom Mitchell,Non-chair
Ajit Singh,Christos Faloutsos,Non-chair
Liang Xiong,Jeff Schneider,Chair
Liang Xiong,Aarti Singh,Non-chair
Liang Xiong,Eric Xing,Non-chair
Liang Xiong,Jeff Schneider,Chair
Liang Xiong,Aarti Singh,Non-chair
Liang Xiong,Eric Xing,Non-chair
Pengtao Xie,Eric Xing,Chair
Pengtao Xie,Ruslan Salakhutdinov,Non-chair
Pengtao Xie,Pradeep Ravikumar,Non-chair
Pradeep Ravikumar,Eric Xing,Chair
Pradeep Ravikumar,Ruslan Salakhutdinov,Non-chair
Pradeep Ravikumar,Pradeep Ravikumar,Non-chair
Pengtao Xie,Eric Xing,Chair
Pengtao Xie,Ruslan Salakhutdinov,Non-chair
Pengtao Xie,Pradeep Ravikumar,Non-chair
Ankur Parikh,Eric Xing,Chair
Ankur Parikh,Eric Xing,Chair
Andy Carlson,Tom Mitchell,Chair
Andy Carlson,William Cohen,Non-chair
Andy Carlson,Tom Mitchell,Chair
Andy Carlson,William Cohen,Non-chair
