alumni_match,faculty_match,faculty_role
Simon Du,Tom Mitchell,Non-chair
Hongyang Zhang,Maria-Florina Balcan,Chair
Hongyang Zhang,Ruslan Salakhutdinov,Non-chair
Hongyang Zhang,Roni Rosenfeld,Non-chair
Hongyang Zhang,Tom Mitchell,Non-chair
Veeranjaneyulu Sadhanala,Ryan Tibshirani,Chair
Veeranjaneyulu Sadhanala,Aarti Singh,Non-chair
Veeranjaneyulu Sadhanala,Larry Wasserman,Non-chair
Veeranjaneyulu Sadhanala,Roni Rosenfeld,Non-chair
Veeranjaneyulu Sadhanala,Tom Mitchell,Non-chair
Alnur Ali,Ryan Tibshirani,Chair
Alnur Ali,Ameet Talwalkar,Non-chair
Alnur Ali,Roni Rosenfeld,Non-chair
Alnur Ali,Tom Mitchell,Non-chair
Hanzhang Hu,Ruslan Salakhutdinov,Chair
Hanzhang Hu,Roni Rosenfeld,Non-chair
Hanzhang Hu,Tom Mitchell,Non-chair
Carlton Downey,Geoffrey Gordon,Chair
Carlton Downey,Ruslan Salakhutdinov,Non-chair
Carlton Downey,Roni Rosenfeld,Non-chair
Carlton Downey,Tom Mitchell,Non-chair
Calvin McCarter,Seyoung Kim,Chair
Calvin McCarter,Pradeep Ravikumar,Non-chair
Calvin McCarter,Roni Rosenfeld,Non-chair
Calvin McCarter,Tom Mitchell,Non-chair
Pradeep Ravikumar,Seyoung Kim,Chair
Pradeep Ravikumar,Pradeep Ravikumar,Non-chair
Pradeep Ravikumar,Roni Rosenfeld,Non-chair
Pradeep Ravikumar,Tom Mitchell,Non-chair
Dallas Card,Artur Dubrawski,Chair
Dallas Card,Geoffrey Gordon,Non-chair
Dallas Card,Roni Rosenfeld,Non-chair
Mrinmaya Sachan,Eric Xing,Chair
Mrinmaya Sachan,Tom Mitchell,Non-chair
Mrinmaya Sachan,Roni Rosenfeld,Non-chair
Mrinmaya Sachan,Tom Mitchell,Non-chair
Adams Wei Yu,Ruslan Salakhutdinov,Chair
Adams Wei Yu,Roni Rosenfeld,Non-chair
Eric Lei,Artur Dubrawski,Chair
Eric Lei,Barnabás Póczos,Non-chair
Eric Lei,Roni Rosenfeld,Non-chair
Willie Neiswanger,Eric Xing,Chair
Willie Neiswanger,Jeff Schneider,Non-chair
Willie Neiswanger,Ruslan Salakhutdinov,Non-chair
Willie Neiswanger,Roni Rosenfeld,Non-chair
Shashank Singh,Barnabás Póczos,Chair
Shashank Singh,Ryan Tibshirani,Non-chair
Shashank Singh,Larry Wasserman,Non-chair
Shashank Singh,Roni Rosenfeld,Non-chair
Chun-Liang Li,Barnabás Póczos,Chair
Chun-Liang Li,Jeff Schneider,Non-chair
Chun-Liang Li,Ruslan Salakhutdinov,Non-chair
Chun-Liang Li,Roni Rosenfeld,Non-chair
Christoph Dann,Barnabás Póczos,Chair
Christoph Dann,Roni Rosenfeld,Non-chair
Chieh Lin,Ziv Bar-Joseph,Chair
Chieh Lin,Roni Rosenfeld,Non-chair
Chieh Lin,Roni Rosenfeld,Non-chair
