id,entity_type,faculty_type,title,research_interests,label,parent,joint_degree,joint_pagerank,joint_community,joint_community_color
Virginia Smith,faculty,core,"Assistant Professor, Machine Learning, School of Computer Science/ECE: Electrical & Computer Engineering","Large Scale Machine Learning, Optimization, Robust Machine Learning, Privacy-preserving ML",Virginia Smith,core,0,0.0,0,"rgb(1,1,1)"
Pat Virtue,faculty,core,"Assistant Teaching Professor, School of Computer Science","Active Learning Teaching Methods, ML/AI Curriculum Development, AI Educational Outreach",Pat Virtue,core,0,0.0,0,"rgb(1,1,1)"
Yiming Yang,faculty,core,"Professor, Language Technologies Institute & Machine Learning, School of Computer Science","Graph-based Learning, Deep Representation Learning/Architecture Search, Time Series",Yiming Yang,core,0,0.0,0,"rgb(1,1,1)"
Chris Atkeson,faculty,affiliated,"Professor,  Robotics Institute & Human-Computer Interaction Institute, School of Computer Science",,Chris Atkeson,affiliated,0,0.0,0,"rgb(1,1,1)"
Drew Bagnell,faculty,affiliated,"(ON-LEAVE) Associate Professor, Robotics Institute, School of Computer Science",,Drew Bagnell,affiliated,0,0.0,0,"rgb(1,1,1)"
Kathleen Carley,faculty,affiliated,"Professor, Institute for Software Research, School of Computer Science",,Kathleen Carley,affiliated,0,0.0,0,"rgb(1,1,1)"
George Chen,faculty,affiliated,"Assistant Professor, Information Systems, Heinz College of Information Systems and Public Policy",,George Chen,affiliated,0,0.0,0,"rgb(1,1,1)"
Yuejie Chi,faculty,affiliated,"Associate Professor, Electrical & Computer Engineering, College of Engineering",,Yuejie Chi,affiliated,0,0.0,0,"rgb(1,1,1)"
Roger Dannenberg,faculty,affiliated,"Professor, Computer Science, School of Computer Science",,Roger Dannenberg,affiliated,0,0.0,0,"rgb(1,1,1)"
Fernando De la Torre,faculty,affiliated,"Associate Research Professor, Robotics Institute, School of Computer Science",,Fernando De la Torre,affiliated,0,0.0,0,"rgb(1,1,1)"
William Eddy,faculty,affiliated,"John C. Warner Professor Emeritus, Statistics, Dietrich College of Humanities and Social Sciences",,William Eddy,affiliated,0,0.0,0,"rgb(1,1,1)"
Fei Fang,faculty,affiliated,"Assistant Professor, Institute for Software Research, School of Computer Science",,Fei Fang,affiliated,0,0.0,0,"rgb(1,1,1)"
Chris Genovese,faculty,affiliated,"Professor/Department Head, Statistics, Dietrich College of Humanities and Social Sciences",,Chris Genovese,affiliated,0,0.0,0,"rgb(1,1,1)"
Seth Goldstein,faculty,affiliated,"Associate Professor, Computer Science, School of Computer Science",,Seth Goldstein,affiliated,0,0.0,0,"rgb(1,1,1)"
Jiashun Jin,faculty,affiliated,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Jiashun Jin,affiliated,0,0.0,0,"rgb(1,1,1)"
Ken Koedinger,faculty,affiliated,"Hillman Professor, Human-Computer Interaction Institute, School of Computer Science",,Ken Koedinger,affiliated,0,0.0,0,"rgb(1,1,1)"
Tai Sing Lee,faculty,affiliated,"Professor, Computer Science & Center for the Neural Basis of Cognition, School of Computer Science & Dietrich College of Humanities and Social Sciences",,Tai Sing Lee,affiliated,0,0.0,0,"rgb(1,1,1)"
Jian Ma,faculty,affiliated,"Associate Professor, Computational Biology, School of Computer Science",,Jian Ma,affiliated,0,0.0,0,"rgb(1,1,1)"
Deepak Pathak,faculty,affiliated,"Assistant Professor, Robotics Institute, School of Computer Science",,Deepak Pathak,affiliated,0,0.0,0,"rgb(1,1,1)"
Benjamin Moseley,faculty,affiliated,"Assistant Professor, Operations Research, Tepper School of Business",,Benjamin Moseley,affiliated,0,0.0,0,"rgb(1,1,1)"
Robert Murphy,faculty,affiliated,"Lane Professor of Computational Biology, Biological Sciences & Biomedical Engineering & Machine Learning, Mellon College of Science & School of Computer Science",,Robert Murphy,affiliated,0,0.0,0,"rgb(1,1,1)"
Graham Neubig,faculty,affiliated,"Assistant Professor, Language Technology Institute, School of Computer Science",,Graham Neubig,affiliated,0,0.0,0,"rgb(1,1,1)"
Bhiksha Raj,faculty,affiliated,"Professor, Language Technologies Institute, School of Computer Science",,Bhiksha Raj,affiliated,0,0.0,0,"rgb(1,1,1)"
Alessandro Rinaldo,faculty,affiliated,"Associate Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Alessandro Rinaldo,affiliated,0,0.0,0,"rgb(1,1,1)"
Tuomas Sandholm,faculty,affiliated,"Professor, Computer Science, School of Computer Science",,Tuomas Sandholm,affiliated,0,0.0,0,"rgb(1,1,1)"
Richard Scheines,faculty,affiliated,"Dean, Dietrich College/Professor, Philosophy, Dietrich College of Humanities & Social Sciences",,Richard Scheines,affiliated,0,0.0,0,"rgb(1,1,1)"
Russell Schwartz,faculty,affiliated,"Professor and Head, Computational Biology Department Professor, Department of Biological Sciences Carnegie Mellon University",,Russell Schwartz,affiliated,0,0.0,0,"rgb(1,1,1)"
Teddy Seidenfeld,faculty,affiliated,"Herbert A. Simon University Professor, Philosophy, Dietrich College of Humanities and Social Sciences",,Teddy Seidenfeld,affiliated,0,0.0,0,"rgb(1,1,1)"
Katia Sycara,faculty,affiliated,"Research Professor, Robotics Institute, School of Computer Science",,Katia Sycara,affiliated,0,0.0,0,"rgb(1,1,1)"
Conrad Tucker,faculty,affiliated,"Arthur Hamerschlag Career Development Professor, Mechanical Engineering",,Conrad Tucker,affiliated,0,0.0,0,"rgb(1,1,1)"
Steven Wu,faculty,affiliated,"Assistant Professor, Institute for Software Research",,Steven Wu,affiliated,0,0.0,0,"rgb(1,1,1)"
Jun-Yan Zhu,faculty,affiliated,"Assistant Professor, Robotics Institute, School of Computer Science",,Jun-Yan Zhu,affiliated,0,0.0,0,"rgb(1,1,1)"
Amir Barati Farimani,faculty,related,"Assistant Professor, Mechanical Engineering",,Amir Barati Farimani,related,0,0.0,0,"rgb(1,1,1)"
Alfred Blumstein,faculty,related,"J. Erik Jonsson University Professor Emeritus, Urban Systems & Operations Research, Heinz College of Information Systems and Public Policy",,Alfred Blumstein,related,0,0.0,0,"rgb(1,1,1)"
Hartmut Geyer,faculty,related,"Associate Professor, Robotics Institute, School of Computer Science",,Hartmut Geyer,related,0,0.0,0,"rgb(1,1,1)"
Joel Greenhouse,faculty,related,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Joel Greenhouse,related,0,0.0,0,"rgb(1,1,1)"
Brian Junker,faculty,related,"Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Brian Junker,related,0,0.0,0,"rgb(1,1,1)"
